job_title,Company_name,location,post,salary,level,experience,skills
Technical Lead (Java),CÔNG TY CỔ PHẦN CHỨNG KHOÁN VNDIRECT,"Quận Thanh Xuân, Hà Nội",,,"Trưởng phòng, Trưởng Nhóm, Senior",,"Java,Spring,Database,Technical Leader,Java EE"
Data Engineer (DBA),LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle, Senior",,"Oracle,SQL,Database,Data Engineer,Database Administrator"
[DI6] SENIOR DATA ENGINEER (SQL) – MSB - 1Y565,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Oracle,SQL,Python,Data Engineer,Kafka"
[DI6] IT Business Analyst - MSB - 1Y563,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Oracle,MySQL,Data Analytics,API,Business Analyst"
Card System Developer - Phát triển ứng dụng số,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Linux,Oracle,SQL,API"
"Backend Developer (Java, Python, NodeJS)",Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Oracle,Java,Python,NodeJS,PostgreSql"
,,,,,,,
Chuyên viên Quản trị hệ thống   – Mã vị trí CNTT04 (số lượng 02),Trung tâm Công nghệ thông tin BIDV,"Quận Cầu Giấy, Hà Nội",,,"Junior, Middle, Senior",,"Linux,Oracle,System Admin"
Quản trị cơ sở dữ liệu (DBA),Công ty Dịch vụ Số Bưu điện (Vietnam Post Digital),"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"Oracle,SQL,MariaDB"
ERP/Oracle Developer,Công ty TNHH Tích hợp Hệ thống Quản lý Quốc tế (Gimasys),"Quận Phú Nhuận, Hồ Chí Minh",,,"Junior, Middle, Senior",,"Oracle,SQL,ERP"
Business Analyst,Public Bank Vietnam (PBVN),"Quận Hoàn Kiếm, Hà Nội",,,"Middle, Senior",,"Business Analyst,Oracle Database,Oracle SQL"
Data Engineer (DBA),LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle, Senior",,"Oracle,SQL,Database,Data Engineer,Database Administrator"
[DI6] Senior Java Developer/Squad Lead – MSB - 1Y560,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,"Trưởng Nhóm, Senior",,"Java,SQL,Java Core"
[DI6] SENIOR DATA ENGINEER (SQL) – MSB - 1Y565,Ngân hàng TMCP Hàng Hải Việt Nam (MSB),"Quận Đống Đa, Hà Nội",,,Senior,,"Oracle,SQL,Python,Data Engineer,Kafka"
Middle/Senior Testing Engineer,TrinTech,"Quận 1, Hồ Chí Minh",,,"Middle, Senior",,"HTML5,SQL,Tester,Automation Tester,Manual Test"
QA Tester,TIGER TRIBE,"Quận 1, Hồ Chí Minh",,,"Junior, Middle",,"SQL,QA,Tester,Automation Tester,Automation QA"
,,,,,,,
"Back End Developer (.NET, C#, SQL)",LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Junior, Middle, Senior",,"C#,SQL,.NET,Back-End"
"Back-End Developer (Java, SQL)",LG CNS Việt Nam,"Quận Nam Từ Liêm, Hà Nội",,,"Middle, Senior",,"Java,SQL,Spring,API,Spring Boot"
Card System Developer - Phát triển ứng dụng số,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"Linux,Oracle,SQL,API"
[Khối Ngân hàng số] QA/QC Data,Ngân hàng TMCP An Bình (ABBANK),"Quận Đống Đa, Hà Nội",,,"Middle, Senior",,"QA,QC,SQL Server,QA/QC,Data Warehouse"
MIDDLE .NET DEVELOPER,INFOPLUS,"Quận Nam Từ Liêm, Hà Nội",,,Middle,,"C#,.NET,ERP,SQL Server,Database"
